Joke ID,Joke Text,Category,Rating,Length,Maturity Level,Sentiment Score,Contextual Information,Usage Context
1,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,4.9,Long,PG,0.9,Seafood reference,Kids' party
2,Why don’t oysters share their pearls? Because they’re shellfish.,Pun,4.4,Short,G,0.6,Seafood reference,Office humor
3,I told my wife she should embrace her mistakes. She gave me a hug.,One-liner,4.4,Medium,Adult,0.6,Everyday humor,Office humor
4,"What did the ocean say to the beach? Nothing, it just waved.",Pun,4.5,Medium,G,0.7,Nature reference,Office humor
5,How does a penguin build its house? Igloos it together!,Pun,3.5,Short,G,0.8,Animal reference,Party joke
6,Why was the math book sad? It had too many problems.,Pun,3.4,Long,PG,0.9,Math joke,Party joke
7,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,4.3,Short,G,0.7,Science joke,Office humor
8,Why don’t skeletons fight each other? They don’t have the guts.,Pun,4.6,Medium,Adult,0.8,Halloween reference,General use
9,I’m on a whiskey diet. I’ve lost three days already.,One-liner,3.3,Long,Adult,0.8,Alcohol reference,Party joke
10,Why did the bicycle fall over? Because it was two-tired.,Pun,3.1,Long,PG,0.5,Transportation reference,Office humor
11,I’m reading a book on anti-gravity. It’s impossible to put down.,Pun,4.0,Medium,PG,0.6,Science joke,Icebreaker
12,"I used to play piano by ear, but now I use my hands.",One-liner,4.8,Long,PG,0.8,Music reference,Party joke
13,How does a penguin build its house? Igloos it together!,Pun,3.9,Medium,Adult,0.7,Animal reference,Party joke
14,I’m on a whiskey diet. I’ve lost three days already.,One-liner,4.6,Medium,Adult,0.6,Alcohol reference,Icebreaker
15,I told my wife she was drawing her eyebrows too high. She looked surprised.,One-liner,4.3,Short,PG,0.6,Everyday humor,Office humor
16,Why was the math book sad? It had too many problems.,Pun,3.9,Medium,G,1.0,Math joke,Icebreaker
17,Why don’t scientists trust atoms? Because they make up everything!,Pun,5.0,Short,PG,0.5,Science joke,Party joke
18,Want to hear a joke about construction? I’m still working on it.,Pun,4.6,Long,Adult,0.5,Everyday humor,Office humor
19,Why don’t skeletons fight each other? They don’t have the guts.,Pun,3.0,Medium,PG,0.9,Halloween reference,Party joke
20,Why did the scarecrow win an award? Because he was outstanding in his field!,Pun,3.9,Medium,PG,0.8,Agricultural reference,Party joke
21,What’s orange and sounds like a parrot? A carrot!,Pun,4.3,Short,Adult,0.6,Wordplay,General use
22,Why don’t some couples go to the gym? Because some relationships don’t work out.,Pun,4.1,Long,Adult,0.9,Everyday humor,General use
23,"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",Pun,4.9,Long,PG,0.8,Tech reference,General use
